"country","city","Customer","email","Start Date"
"Afghanistan","Kabul","VERA MCCOY","VERA.MCCOY@sakilacustomer.org","02/14/2006"
"Algeria","Skikda","JUNE CARROLL","JUNE.CARROLL@sakilacustomer.org","02/14/2006"
"Algeria","Béchar","JUDY GRAY","JUDY.GRAY@sakilacustomer.org","02/14/2006"
"Algeria","Batna","MARIO CHEATHAM","MARIO.CHEATHAM@sakilacustomer.org","02/14/2006"
"American Samoa","Tafuna","ANTHONY SCHWAB","ANTHONY.SCHWAB@sakilacustomer.org","02/14/2006"
"Angola","Benguela","CLAUDE HERZOG","CLAUDE.HERZOG@sakilacustomer.org","02/14/2006"
"Angola","Namibe","MARTIN BALES","MARTIN.BALES@sakilacustomer.org","02/14/2006"
"Anguilla","South Hill","BOBBY BOUDREAU","BOBBY.BOUDREAU@sakilacustomer.org","02/14/2006"
"Argentina","Escobar","MICHEAL FORMAN","MICHEAL.FORMAN@sakilacustomer.org","02/14/2006"
"Argentina","Córdoba","KIMBERLY LEE","KIMBERLY.LEE@sakilacustomer.org","02/14/2006"
"Argentina","Bahía Blanca","JASON MORRISSEY","JASON.MORRISSEY@sakilacustomer.org","02/14/2006"
"Argentina","Almirante Brown","WILLIE MARKHAM","WILLIE.MARKHAM@sakilacustomer.org","02/14/2006"
"Argentina","Ezeiza","DARRYL ASHCRAFT","DARRYL.ASHCRAFT@sakilacustomer.org","02/14/2006"
"Argentina","La Plata","JULIA FLORES","JULIA.FLORES@sakilacustomer.org","02/14/2006"
"Argentina","Vicente López","WILLIE HOWELL","WILLIE.HOWELL@sakilacustomer.org","02/14/2006"
"Argentina","Merlo","FLORENCE WOODS","FLORENCE.WOODS@sakilacustomer.org","02/14/2006"
"Argentina","Quilmes","PERRY SWAFFORD","PERRY.SWAFFORD@sakilacustomer.org","02/14/2006"
"Argentina","Avellaneda","JORDAN ARCHULETA","JORDAN.ARCHULETA@sakilacustomer.org","02/14/2006"
"Argentina","San Miguel de Tucumán","LYDIA BURKE","LYDIA.BURKE@sakilacustomer.org","02/14/2006"
"Argentina","Tandil","LEONARD SCHOFIELD","LEONARD.SCHOFIELD@sakilacustomer.org","02/14/2006"
"Argentina","Santa Fé","ERIC ROBERT","ERIC.ROBERT@sakilacustomer.org","02/14/2006"
"Armenia","Yerevan","STEPHANIE MITCHELL","STEPHANIE.MITCHELL@sakilacustomer.org","02/14/2006"
"Austria","Salzburg","NORA HERRERA","NORA.HERRERA@sakilacustomer.org","02/14/2006"
"Austria","Linz","JILL HAWKINS","JILL.HAWKINS@sakilacustomer.org","02/14/2006"
"Austria","Graz","AUDREY RAY","AUDREY.RAY@sakilacustomer.org","02/14/2006"
"Azerbaijan","Sumqayit","RAYMOND MCWHORTER","RAYMOND.MCWHORTER@sakilacustomer.org","02/14/2006"
"Azerbaijan","Baku","ANDREW PURDY","ANDREW.PURDY@sakilacustomer.org","02/14/2006"
"Bahrain","al-Manama","SETH HANNON","SETH.HANNON@sakilacustomer.org","02/14/2006"
"Bangladesh","Dhaka","STEPHEN QUALLS","STEPHEN.QUALLS@sakilacustomer.org","02/14/2006"
"Bangladesh","Jamalpur","FRANK WAGGONER","FRANK.WAGGONER@sakilacustomer.org","02/14/2006"
"Bangladesh","Tangail","MICHELLE CLARK","MICHELLE.CLARK@sakilacustomer.org","02/14/2006"
"Belarus","Mogiljov","CORY MEEHAN","CORY.MEEHAN@sakilacustomer.org","02/14/2006"
"Belarus","Molodetšno","CLARA SHAW","CLARA.SHAW@sakilacustomer.org","02/14/2006"
"Bolivia","Sucre","JOEL FRANCISCO","JOEL.FRANCISCO@sakilacustomer.org","02/14/2006"
"Bolivia","El Alto","JON WILES","JON.WILES@sakilacustomer.org","02/14/2006"
"Brazil","Santa Bárbara d´Oeste","MARION SNYDER","MARION.SNYDER@sakilacustomer.org","02/14/2006"
"Brazil","Vila Velha","DEBRA NELSON","DEBRA.NELSON@sakilacustomer.org","02/14/2006"
"Brazil","Goiânia","TINA SIMMONS","TINA.SIMMONS@sakilacustomer.org","02/14/2006"
"Brazil","São Bernardo do Campo","CODY NOLEN","CODY.NOLEN@sakilacustomer.org","02/14/2006"
"Brazil","Maringá","MARIAN MENDOZA","MARIAN.MENDOZA@sakilacustomer.org","02/14/2006"
"Brazil","Alvorada","CLAYTON BARBEE","CLAYTON.BARBEE@sakilacustomer.org","02/14/2006"
"Brazil","Bagé","ANTONIO MEEK","ANTONIO.MEEK@sakilacustomer.org","02/14/2006"
"Brazil","Poços de Caldas","MAXINE SILVA","MAXINE.SILVA@sakilacustomer.org","02/14/2006"
"Brazil","Juazeiro do Norte","FRANCES PARKER","FRANCES.PARKER@sakilacustomer.org","02/14/2006"
"Brazil","São Leopoldo","FRANCISCO SKIDMORE","FRANCISCO.SKIDMORE@sakilacustomer.org","02/14/2006"
"Brazil","Aparecida de Goiânia","NATALIE MEYER","NATALIE.MEYER@sakilacustomer.org","02/14/2006"
"Brazil","Ibirité","DANIEL CABRAL","DANIEL.CABRAL@sakilacustomer.org","02/14/2006"
"Brazil","Araçatuba","JANE BENNETT","JANE.BENNETT@sakilacustomer.org","02/14/2006"
"Brazil","Belém","NICHOLAS BARFIELD","NICHOLAS.BARFIELD@sakilacustomer.org","02/14/2006"
"Brazil","Rio Claro","DENISE KELLY","DENISE.KELLY@sakilacustomer.org","02/14/2006"
"Brazil","Angra dos Reis","JOSEPH JOY","JOSEPH.JOY@sakilacustomer.org","02/14/2006"
"Brazil","Juiz de Fora","KENT ARSENAULT","KENT.ARSENAULT@sakilacustomer.org","02/14/2006"
"Brazil","Luziânia","IDA ANDREWS","IDA.ANDREWS@sakilacustomer.org","02/14/2006"
"Brazil","Guarujá","JESUS MCCARTNEY","JESUS.MCCARTNEY@sakilacustomer.org","02/14/2006"
"Brazil","Brasília","TIMOTHY BUNN","TIMOTHY.BUNN@sakilacustomer.org","02/14/2006"
